,Name,Brand,Model,Manafacture Year,Color,Mileage,Price,Location,Listing Date
5810,Mini Countryman S 2011,Mini,Countryman S,2011,Red,1090000,685000,Tagamo3 - New Cairo,17/04/2024
5811,Mini Mini Cooper S 2013,Mini,Mini Cooper S,2013,Black,1750000,580000,06-Oct,17/04/2024
5812,Mini Cooper 2016,Mini,Cooper,2016,Silver,900000,1300000,Heliopolis,16/04/2024
5813,Mini Cooper 2019,Mini,Cooper,2019,Blue,1320000,1400000,Cairo,26/02/2024
5814,Mini Mini Cooper S 2005,Mini,Mini Cooper S,2005,Black,0,650000,Cairo,06/04/2024
5815,Mini Countryman S 2014,Mini,Countryman S,2014,White,500000,1199999,Sheikh Zayed City,05/04/2024
5816,Mini Cooper 2021,Mini,Cooper,2021,Blue,300000,1750000,Heliopolis,04/04/2024
5817,Mini Countryman S 2011,Mini,Countryman S,2011,Red,1800000,890000,Nasr city,30/03/2024
5818,Mini Mini Cooper S 2011,Mini,Mini Cooper S,2011,White,1950000,850000,Sheraton,29/03/2024
5819,Mini Countryman S 2014,Mini,Countryman S,2014,Black,980000,1000000,Sheikh Zayed City,28/03/2024
5820,Mini Countryman S 2020,Mini,Countryman S,2020,White,150000,2750000,Nasr city,26/03/2024
5821,Mini Cooper Paceman 2015,Mini,Cooper Paceman,2015,Brown,2070000,1100000,06-Oct,26/03/2024
5822,Mini Cooper 2016,Mini,Cooper,2016,Dark blue,1050000,1260000,Dokki,26/03/2024
5823,Mini Cooper Paceman 2013,Mini,Cooper Paceman,2013,Blue,1600000,850000,Tagamo3 - New Cairo,25/03/2024
5824,Mini Mini Cooper S 2010,Mini,Mini Cooper S,2010,White,1600000,820000,Madinaty,25/03/2024
5825,Mini Clubman 2022,Mini,Clubman,2022,White,75000,2550000,06-Oct,19/03/2024
5826,Mini Country man 2020,Mini,Country man,2020,Silver,1320000,1550000,Cairo,08/03/2024
5827,Mini Coupe 2017,Mini,Coupe,2017,Beige,0,1000000,Kafr el-Sheikh,03/03/2024
5828,Mini Clubman 2009,Mini,Clubman,2009,Brown,1260000,450000,Alexandria,02/03/2024
5829,Mini Cooper 2017,Mini,Cooper,2017,Bronze,900000,1250000,Alexandria,29/02/2024
5830,Mini Country man 2011,Mini,Country man,2011,Blue,1010000,1180000,Cairo,29/02/2024
5831,Mini Country man 2012,Mini,Country man,2012,Blue,1160000,850000,Dokki,29/02/2024
